institution_id,categorie_id,classification_juridique,statut,chemin_fichier,nom_original,type_mime,taille_fichier,texte_brut,nombre_pages,titre,resume,tags,source,url_source,version_document,langue,date_publication,date_entree_vigueur,date_abrogation,date_decision,parent_id,remplace_document_id,documents_associes_ids
,Ordonnances,Droit commercial général,En vigueur,,Ord_2018-644_IDU.pdf,application/pdf,,,,"Ordonnance n°2018-644 du 1er août 2018 instituant l'identifiant unique des entreprises","Création de l'IDU remplaçant tous numéros administratifs (RCCM, compte contribuable, CNPS), simplifie drastiquement les formalités","IDU;identifiant unique;simplification","Présidence","http://altiorpartners.com/wp-content/uploads/2018/12/Institution-dun-identifiant-unique-des-entreprises-en-Côte-dIvoire.pdf",,FR,2018-08-01,2018-10-01,,,,,
,Décrets,Droit du travail,En vigueur,,Decret_2022-986_SMIG.pdf,application/pdf,,,,"Décret N° 2022-986 portant revalorisation du SMIG","SMIG fixé à 75 000 FCFA/mois (augmentation 25%), applicable 40h hebdomadaires, base calcul cotisations sociales","SMIG;salaire minimum;cotisations","Ministère de l'Emploi","https://www.gouv.ci/doc/decret-smig-2022.pdf",,FR,2022-12-21,2023-01-01,,,,,
,Lois ordinaires,Droit de la sécurité sociale,En vigueur,,Loi_2014-131_CMU.pdf,application/pdf,,,,"Loi N° 2014-131 du 24 mars 2014 instituant la CMU","Couverture Maladie Universelle obligatoire, 1000 FCFA/mois/personne, prise en charge 70% frais médicaux","CMU;santé;sécurité sociale","CNAM","https://www.gouv.ci/_actualite-article.php?recordID=14078",,FR,2014-03-24,2019-10-01,,,,,
,Décrets,Droit du travail,En vigueur,,Decret_2022-31_Teletravail.pdf,application/pdf,,,,"Décret N° 2022-31 du 12 janvier 2022 fixant modalités du télétravail","Définit le télétravail, formalisation par contrat/avenant, obligations employeur, protection accidents travail","télétravail;travail distant;covid","Ministère de l'Emploi","https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/112229/140022/F-1780871468/CIV-112229.pdf",,FR,2022-01-12,2022-01-12,,,,,
,Lois ordinaires,Droit des télécommunications,En vigueur,,Loi_2013-450_DonneesPersonnelles.pdf,application/pdf,,,,"Loi n°2013-450 du 19 juin 2013 relative à la protection des données personnelles","Cadre juridique protection données, obligation Correspondant Protection Données, sanctions jusqu'à 20M FCFA","données personnelles;RGPD;protection","ARTCI","https://www.artci.ci/images/stories/pdf/lois/loi_2013_450.pdf",,FR,2013-06-19,2013-06-19,,,,,
,Lois ordinaires,Droit des télécommunications,En vigueur,,Loi_2013-546_TransactionsElectroniques.pdf,application/pdf,,,,"Loi n°2013-546 du 30 juillet 2013 relative aux transactions électroniques","Cadre juridique e-commerce, reconnaissance juridique transactions dématérialisées, validation contrats électroniques","e-commerce;signature électronique;numérique","ARTCI","https://www.artci.ci/images/stories/pdf/lois/loi_2013_546.pdf",,FR,2013-07-30,2013-07-30,,,,,
,Lois ordinaires,Droit pénal des affaires,En vigueur,,Loi_2013-451_Cybercriminalite.pdf,application/pdf,,,,"Loi n°2013-451 du 19 juin 2013 relative à la lutte contre la cybercriminalité","Sanctions cybercriminalité 1-20 ans prison, amendes 5-100M FCFA, obligation sécuriser données","cybercriminalité;sécurité;sanctions","ARTCI","https://www.droit-afrique.com/upload/doc/cote-divoire/RCI-Loi-2013-451-lutte-cyber-criminalite.pdf",,FR,2013-06-19,2023-06-07,,,,,
,Actes uniformes OHADA,Droit des sociétés,En vigueur,,AU_OHADA_2017_Comptabilite.pdf,application/pdf,,,,"Acte uniforme relatif au droit comptable et à l'information financière - SYSCOHADA (26 janvier 2017)","Modernise système comptable OHADA, obligation états financiers IFRS sociétés cotées, système minimal trésorerie petites entités","comptabilité;SYSCOHADA;IFRS;PME","OHADA","https://www.droit-afrique.com/uploads/OHADA-Acte-uniforme-2017-droit-comptable-information-financiere.pdf",,FR,2017-01-26,2018-01-01,,,,,
,Actes uniformes OHADA,Droit des obligations et contrats,En vigueur,,AU_OHADA_2010_Suretes.pdf,application/pdf,,,,"Acte uniforme révisé portant organisation des sûretés (15 décembre 2010)","Harmonise sûretés mobilières et immobilières, élargit biens en sûretés, simplifie constitution, renforce efficacité","sûretés;garanties;crédit;OHADA","OHADA","https://www.droit-afrique.com/upload/doc/ohada/Ohada-Acte-Uniforme-2010-suretes.pdf","Révision de l'AU de 1997",FR,2010-12-15,2011-05-15,,,,,
,Actes uniformes OHADA,Droit commercial général,En vigueur,,AU_OHADA_2015_ProceduresCollectives.pdf,application/pdf,,,,"Acte uniforme portant organisation des procédures collectives (10 septembre 2015)","Étend champ application personnes physiques indépendantes, privilégie sauvegarde entreprises viables, protection créanciers","faillite;redressement;liquidation;OHADA","OHADA","https://www.droit-afrique.com/uploads/OHADA-Acte-uniforme-2015-Procedures-collectives.pdf",,FR,2015-09-10,2015-12-24,,,,,
,Instructions,Droit bancaire et financier,En vigueur,,Instruction_BCEAO_2024_Paiement.pdf,application/pdf,,,,"Instruction BCEAO n°001-01-2024 relative aux services de paiement dans l'UMOA","Obligation agrément EDP, capital minimum 100M FCFA, procédures strictes fintechs","fintech;paiement;BCEAO;EDP","BCEAO","https://www.bceao.int/sites/default/files/instruction-001-01-2024.pdf",,FR,2024-01-01,2025-05-01,,,,,
,Lois ordinaires,Droit commercial général,En vigueur,,Loi_2016-555_DroitAuteur.pdf,application/pdf,,,,"Loi n° 2016-555 du 26 juillet 2016 relative au droit d'auteur et droits voisins","Protection œuvres esprit 99 ans après mort auteur, distingue droits moraux et patrimoniaux, gestion collective BURIDA","propriété intellectuelle;droit d'auteur;BURIDA","Ministère Culture","https://culture.gouv.ci/wp-content/uploads/2023/06/Loi-n°-2016-555-du-26-JUIL.-2016-DROIT-DAUTEUR-ET-DV.pdf",,FR,2016-07-26,2016-07-26,,,,,
,Traités internationaux,Droit commercial général,En vigueur,,Accord_Bangui_OAPI_2015.pdf,application/pdf,,,,"Accord de Bangui instituant l'OAPI révisé le 14 décembre 2015","Texte référence protection industrielle, brevets 20 ans, marques 10 ans renouvelables, procédure unique 17 pays","OAPI;brevets;marques;propriété industrielle","OAPI","http://siege.oapi.int/Ressources/accord_bangui/2020/francais.pdf",,FR,2015-12-14,2020-11-20,,,,,
,Décrets,Droit commercial général,En vigueur,,Decret_2005-112_OIPI.pdf,application/pdf,,,,"Décret n° 2005-112 du 24 février 2005 portant création de l'OIPI","Crée l'Office Ivoirien Propriété Intellectuelle, interlocuteur unique dépôts brevets/marques, conseil et assistance","OIPI;propriété intellectuelle;brevets","OIPI","https://wipolex-res.wipo.int/edocs/lexdocs/laws/fr/ci/ci010fr.pdf",,FR,2005-02-24,2005-02-24,,,,,
,Codes,Droit fiscal et douanier,En vigueur,,Code_Douanes_2022.pdf,application/pdf,,,,"Loi n°2022-975 du 23 novembre 2022 portant Code des Douanes","Texte fondamental régime douanier, pouvoirs administration, procédures dédouanement, régimes économiques, sanctions","douanes;import-export;dédouanement","DG Douanes","https://www.douanes.ci/sites/default/files/code_de_douanes/Code_des_Douanes_Partie_Partie_Legis.pdf",,FR,2022-11-23,2023-07-21,,,,,
,Règlements UEMOA/CEDEAO,Droit communautaire ouest-africain,En vigueur,,TEC_CEDEAO_2022.pdf,application/pdf,,,,"Tarif Extérieur Commun CEDEAO version 2022","Tarif uniforme importations pays tiers, 6381 lignes tarifaires, 5 catégories (0-35%), redevances diverses","TEC;CEDEAO;tarif douanier","DG Douanes","https://www.douanes.ci/tec-cedeao-2022.pdf",,FR,2023-07-31,2023-08-01,,,,,
,Décrets,Droit commercial général,En vigueur,,Decret_2018-358_PPP.pdf,application/pdf,,,,"Décret n°2018-358 du 29 mars 2018 fixant règles des PPP","Cadre juridique partenariats public-privé, procédures attribution, modalités gestion, attirer investissements privés","PPP;partenariat;investissement public","CNP-PPP","https://ppp.gouv.ci/documents/decret-2018-358.pdf",,FR,2018-03-29,2018-03-29,,,,,
,Ordonnances,Droit fiscal et douanier,En vigueur,,Ord_2013-281_ReductionCouts.pdf,application/pdf,,,,"Ordonnance n°2013-281 du 24 avril 2013 réduction coûts fiscaux création entreprises","Exonération droits enregistrement sociétés capital <10M FCFA, réduction coûts constitution","création entreprise;fiscalité;PME","Présidence","https://www.dgi.gouv.ci/ordonnance-2013-281.pdf",,FR,2013-04-24,2013-05-15,,,,,
,Circulaires,Droit fiscal et douanier,En vigueur,,Note_DGI_2023_TVA_Plateformes.pdf,application/pdf,,,,"Note n°03949/MBPE/DGI/DLCD du 09 octobre 2023 TVA plateformes numériques","TVA 18% plateformes non-résidentes, immatriculation simplifiée distance, télédéclaration obligatoire","TVA;plateformes;numérique;fiscalité","DGI","https://www.dgi.gouv.ci/assets/documents/note_explicative_03949_version_anglaise.pdf",,FR,2023-10-09,2024-04-01,,,,,
,Lois ordinaires,Droit bancaire et financier,En vigueur,,Loi_2016-992_Blanchiment.pdf,application/pdf,,,,"Loi N° 2016-992 du 14 novembre 2016 lutte contre blanchiment capitaux","Obligations institutions financières, déclarations soupçon, seuils déclaration, sanctions","blanchiment;conformité;CENTIF","Ministère Finances","https://www.centif.ci/docs/loi-2016-992.pdf",,FR,2016-11-14,2016-11-14,,,,,
,Décrets,Droit de la sécurité sociale,En vigueur,,Decret_2020-308_RSTI.pdf,application/pdf,,,,"Décret N° 2020-308 du 4 mars 2020 régime social travailleurs indépendants","RSTI pour artisans/commerçants/professions libérales, cotisation 12%, assiette 30-150k FCFA","RSTI;indépendants;CNPS;cotisations","CNPS","https://www.cnps.ci/wp-content/uploads/2020/08/RSTI.pdf",,FR,2020-03-04,2020-03-04,,,,,
,Ordonnances,Droit des télécommunications,En vigueur,,Ord_2017-500_EchangesElectroniques.pdf,application/pdf,,,,"Ordonnance n°2017-500 du 02 août 2017 échanges électroniques avec administrations","Échanges électroniques entre usagers et autorités administratives, dématérialisation procédures","e-administration;dématérialisation;numérique","Présidence","https://www.artci.ci/images/stories/pdf/ordonnances/ordonnance-2017-500.pdf",,FR,2017-08-02,2017-08-02,,,,,
,Décrets,Droit des télécommunications,En vigueur,,Decret_2016-851_ArchivageElectronique.pdf,application/pdf,,,,"Décret n°2016-851 du 19 octobre 2016 archivage électronique","Modalités mise en œuvre archivage électronique, cadre dématérialisation documents","archivage;dématérialisation;numérique","SGG","https://www.artci.ci/images/stories/pdf/decrets/decret-2016-851.pdf",,FR,2016-10-19,2016-10-19,,,,,
,Actes uniformes OHADA,Droit commercial général,En vigueur,,AU_OHADA_2023_Recouvrement.pdf,application/pdf,,,,"Acte uniforme portant procédures simplifiées recouvrement (17 octobre 2023)","Modernise procédures recouvrement, délais courts, procédures simplifiées, protection débiteurs","recouvrement;saisie;OHADA","OHADA","https://www.ohada.org/acte-uniforme-2023-recouvrement.pdf",,FR,2023-10-17,2024-02-16,,,,,
,Actes uniformes OHADA,Droit des transports,En vigueur,,AU_OHADA_2003_TransportRoute.pdf,application/pdf,,,,"Acte uniforme relatif aux contrats transport marchandises par route (22 mars 2003)","Régit contrats transport marchandises route espace OHADA, formation, exécution, responsabilité","transport;logistique;OHADA","OHADA","https://www.idit.fr/legislation/documents/Acte_OHADA_Transport.pdf",,FR,2003-03-22,2004-01-01,,,,,
,Actes uniformes OHADA,Droit des obligations et contrats,En vigueur,,AU_OHADA_2017_Mediation.pdf,application/pdf,,,,"Acte uniforme relatif à la médiation (23 novembre 2017)","Cadre juridique sécurisé médiation commerciale, modes alternatifs règlement différends","médiation;ADR;OHADA","OHADA","http://www.droit-afrique.com/uploads/OHADA-Acte-Uniforme-2017-mediation.pdf",,FR,2017-11-23,2018-03-15,,,,,
,Actes uniformes OHADA,Droit des obligations et contrats,En vigueur,,AU_OHADA_2017_Arbitrage.pdf,application/pdf,,,,"Acte uniforme relatif au droit de l'arbitrage (23 novembre 2017)","Modernise droit arbitrage OHADA, renforce principe compétence-compétence, facilite arbitrage","arbitrage;ADR;CCJA;OHADA","OHADA","http://www.droit-afrique.com/uploads/Ohada-Acte-Uniforme-2017-Arbitrage.pdf",,FR,2017-11-23,2018-03-15,,,,,
,Lois ordinaires,Droit pénal des affaires,En vigueur,,Loi_2017-727_SanctionsOHADA.pdf,application/pdf,,,,"Loi n° 2017-727 du 9 novembre 2017 répression infractions Actes uniformes OHADA","Détermine sanctions pénales applicables infractions prévues Actes uniformes OHADA","sanctions;OHADA;pénal","Journal Officiel CI","https://www.ohada.org/loi-ivoirienne-sanctions-penales.pdf",,FR,2017-11-09,2017-12-14,,,,,
,Décrets,Droit commercial général,En vigueur,,Decret_2015-271_BURIDA.pdf,application/pdf,,,,"Décret n° 2015-271 du 22 avril 2015 réforme BURIDA","Bureau Ivoirien Droit Auteur, gestion collective 6000+ membres, 72000+ œuvres, collecte/redistribution redevances","BURIDA;droits d'auteur;gestion collective","BURIDA","http://www.oapi.int/Ressources/documentsPLA/REGLEMENTS/COTEDIVOIRE/decret_reorganisation_Burida.pdf",,FR,2015-04-22,2015-04-22,,,,,
,Codes,Droit fiscal et douanier,En vigueur,,Regime_RME_2021.pdf,application/pdf,,,,"Régime des Microentreprises (RME) - Annexe fiscale 2021","Régime CA 50-200M FCFA, taux unique 7% libératoire, gestion DGI, pas facturation TVA","RME;microentreprise;fiscalité;PME","DGI","https://pme.gouv.ci/static/docs/textesjuridiques/pme/CCMfiscalite_des_PME.pdf",,FR,2021-01-08,2021-01-08,,,,,
,Décrets,Droit commercial général,En vigueur,,Decret_2016-1152_VOC.pdf,application/pdf,,,,"Décret n°2016-1152 du 28 décembre 2016 certification obligatoire VOC","CODINORM certification obligatoire 2861 lignes produits seuil 1M FCFA, 4 organismes agréés","certification;VOC;qualité;import","CODINORM","https://pwic.gouv.ci/docs/voc-2016.pdf",,FR,2016-12-28,2019-02-01,,,,,
,Traités internationaux,Droit communautaire ouest-africain,En vigueur,,Accord_APE_UE_CI.pdf,application/pdf,,,,"Accord de Partenariat Économique UE-Côte d'Ivoire","Accès préférentiel marché européen, démantèlement tarifaire progressif, facilitation douanière","APE;UE;commerce;export","UE/Ministère Commerce","https://www.assemblee-nationale.fr/14/projets/pl1163-ei.pdf",,FR,2008-01-01,2008-01-01,,,,,
,Traités internationaux,Droit fiscal et douanier,En vigueur,,Convention_Fiscale_France_CI.pdf,application/pdf,,,,"Convention fiscale France-Côte d'Ivoire du 6 avril 1966","Éviter doubles impositions, assistance administrative, territorialité revenus, régimes spéciaux","convention fiscale;France;impôts","DGI","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/cote_ivoire/cote_ivoire_convention_avec_la_france.pdf",,FR,1966-04-06,1966-04-06,,,,,
,Décrets,Droit commercial général,En vigueur,,Decret_1993-313_CodeImportExport.pdf,application/pdf,,,,"Décret n°93-313 du 11 mars 1993 code importateur/exportateur","Code importateur/exportateur obligatoire, licences spécifiques certains produits, régime libéral général","import;export;commerce;licence","Ministère Commerce","https://servicepublic.gouv.ci/docs/code-importateur.pdf",,FR,1993-03-11,1993-03-11,,,,,
,Ordonnances,Droit commercial général,En vigueur,,Ord_2013-662_Concurrence.pdf,application/pdf,,,,"Ordonnance n°2013-662 relative à la concurrence","Réglemente pratiques anticoncurrentielles, abus position dominante, ententes illicites","concurrence;antitrust;régulation","Ministère Commerce","https://www.commerce.gouv.ci/docs/ordonnance-concurrence-2013.pdf",,FR,2013-09-20,2013-09-20,,,,,
,Codes,Droit de l'environnement,En vigueur,,Code_Environnement_2023.pdf,application/pdf,,,,"Code de l'Environnement - Loi N°2023-900 du 23 novembre 2023","Évaluations environnementales obligatoires projets investissement, protection environnement","environnement;EIE;protection","Ministère Environnement","https://www.environnement.gouv.ci/docs/code-environnement-2023.pdf",,FR,2023-11-23,2023-11-23,,,,,
,Codes,Droit des télécommunications,En vigueur,,Code_Telecommunications_2012.pdf,application/pdf,,,,"Code des Télécommunications - Ordonnance 2012-293 du 21 mars 2012","Libéralisation secteur télécoms, régulation ARTCI, innovation numérique","télécoms;ARTCI;régulation","ARTCI","https://www.artci.ci/images/stories/pdf/ordonnance_2012_293.pdf",,FR,2012-03-21,2012-03-21,,,,,
,Codes,Droit maritime et portuaire,En vigueur,,Code_Maritime_2017.pdf,application/pdf,,,,"Code Maritime - Loi n°2017-442 du 30 juin 2017","Développement activités portuaires et logistiques, transport maritime, sécurité navigation","maritime;ports;navigation","Ministère Transports","https://www.transports.gouv.ci/docs/code-maritime-2017.pdf",,FR,2017-06-30,2017-06-30,,,,,
,Instructions,Droit bancaire et financier,En vigueur,,Instruction_BCEAO_2025_Conformite.pdf,application/pdf,,,,"Instruction n°001-03-2025 du 18 mars 2025 conformité LBC/FT","Modalités mise œuvre obligations conformité lutte blanchiment capitaux institutions financières","conformité;LBC/FT;BCEAO","BCEAO","https://www.bceao.int/sites/default/files/instruction-001-03-2025.pdf",,FR,2025-03-18,2025-04-01,,,,,
,Lois organiques,Droit fiscal et douanier,En vigueur,,LOLF_2014-336.pdf,application/pdf,,,,"Loi organique n° 2014-336 du 5 juin 2014 relative aux lois de finances","Nouvelle loi organique budgétaire alignée sur normes UEMOA, procédures élaboration et exécution budget","LOLF;budget;finances publiques","Journal Officiel","https://www.dgbf.ci/lolf-2014-336.pdf",,FR,2014-06-05,2015-01-01,,,,,
,Codes,Droit fiscal et douanier,En vigueur,,Code_MarchesPublics_2019.pdf,application/pdf,,,,"Ordonnance n° 2019-679 du 24 juillet 2019 portant Code des marchés publics","Nouveau Code marchés publics aligné standards UEMOA, procédures passation, transparence, quotas PME 30%","marchés publics;ARCOP;PME","ARCOP","https://arcop.ci/wp-content/uploads/2025/07/anrmpcode-des-marches-publics-2023.pdf",,FR,2019-07-24,2019-07-24,,,,,
,Lois ordinaires,Droit commercial général,En vigueur,,Loi_2016-412_Consommation.pdf,application/pdf,,,,"Loi n° 2016-412 du 15 juin 2016 relative à la consommation","Loi protection consommateur, information loyale, clauses abusives sanctionnées, garantie légale","consommation;protection;garantie","Ministère Commerce","https://www.commerce.gouv.ci/loi-2016-412-consommation.pdf",,FR,2016-06-15,2016-06-15,,,,,
,Codes,Droit minier et pétrolier,En vigueur,,Code_Minier_2014.pdf,application/pdf,,,,"Loi n° 2014-138 du 24 mars 2014 portant Code minier","Nouveau Code minier facilitant investissement secteur minier, types permis, régime fiscal minier","mines;permis;ressources","DGMG","https://droit-afrique.com/uploads/Cote-Ivoire-Code-2014-minier.pdf",,FR,2014-03-24,2014-08-14,,,,,
,Codes,Droit minier et pétrolier,En vigueur,,Code_Petrolier_2012.pdf,application/pdf,,,,"Code pétrolier modifié par Ordonnance 2012-369 du 18 avril 2012","Régit activités exploration exploitation hydrocarbures, contrats pétroliers, fiscalité pétrolière","pétrole;hydrocarbures;exploration","CEPICI","https://cepici.gouv.ci/documents/Code_petrolier_ordonnance_2012-369.pdf",,FR,2012-04-18,2012-04-18,,,,,
,Lois ordinaires,Droit des sociétés,En vigueur,,Loi_2020-626_SocietesEtat.pdf,application/pdf,,,,"Loi n° 2020-626 du 14 août 2020 portant régime juridique des sociétés d'État","Fixe cadre juridique entreprises publiques, création, administration, contrôle et tutelle","sociétés d'État;entreprise publique","Journal Officiel","https://www.igf.finances.gouv.ci/wp-content/uploads/loi_n%C2%B0-2020-626_societes-dEtat.pdf",,FR,2020-08-14,2020-08-14,,,,,
,Codes,Droit foncier et domanial,En vigueur,,Loi_1998-750_FoncierRural.pdf,application/pdf,,,,"Loi n° 98-750 du 23 décembre 1998 domaine foncier rural modifiée","Établit régime terres rurales coutumières, réservées Ivoiriens, procédure certification foncière","foncier rural;terres;propriété","AFOR","https://www.clientearth.fr/media/daznyf03/loi-98-750-modifiee-2019-domaine-foncier-rural.pdf","Modifiée 2019",FR,1998-12-23,1998-12-23,,,,,
,Lois ordinaires,Droit de la famille,En vigueur,,Loi_2019-570_Mariage.pdf,application/pdf,,,,"Loi n° 2019-570 du 26 juin 2019 relative au mariage","Réforme régime juridique mariage, trois régimes matrimoniaux, égalité époux, âge minimum relevé","mariage;famille;époux","MFFE","https://www.famille.gouv.ci/public/documents/textes/loi_2019-570_sur_le_mariage.pdf",,FR,2019-06-26,2019-07-02,,,,,
,Lois ordinaires,Droit de la famille,En vigueur,,Loi_2019-573_Successions.pdf,application/pdf,,,,"Loi n° 2019-573 du 26 juin 2019 relative aux successions","Met à jour régime successions, égalité conjoints survivants héritage, supprime discriminations","successions;héritage;patrimoine","MFFE","https://www.famille.gouv.ci/public/documents/textes/Loi-n%C2%B02019-573-sur-successions.pdf",,FR,2019-06-26,2019-07-02,,,,,
,Traités internationaux,Droit OHADA,En vigueur,,Traite_OHADA_1993.pdf,application/pdf,,,,"Traité du 17 octobre 1993 relatif à l'harmonisation du droit des affaires en Afrique","Traité fondateur OHADA créant droit affaires commun et Cour Commune CCJA","OHADA;traité;intégration","OHADA","https://www.ohada.org/traite-ohada-1993.pdf","Révisé 2008",FR,1993-10-17,1995-09-18,,,,,
,Traités internationaux,Droit communautaire ouest-africain,En vigueur,,Traite_UEMOA_1994.pdf,application/pdf,,,,"Traité du 10 janvier 1994 portant création de l'UEMOA","Traité instituant UEMOA, union douanière et monétaire, harmonisation politiques économiques","UEMOA;intégration;franc CFA","UEMOA","https://www.uemoa.int/traite-uemoa-1994.pdf",,FR,1994-01-10,1994-08-01,,,,,
,Traités internationaux,Droit communautaire ouest-africain,En vigueur,,Traite_CEDEAO_1993.pdf,application/pdf,,,,"Traité révisé du 24 juillet 1993 de la CEDEAO","Traité établissant CEDEAO, coopération économique régionale, libre circulation personnes et biens","CEDEAO;intégration;libre circulation","CEDEAO","https://www.ecowas.int/traite-cedeao-1993.pdf",,FR,1993-07-24,1995-08-01,,,,,
,Codes,Droit de la sécurité sociale,En vigueur,,Code_PrevoyanceSociale_1999.pdf,application/pdf,,,,"Loi n° 99-477 du 2 août 1999 portant Code de prévoyance sociale","Code sécurité sociale définissant régime général CNPS, pensions, prestations familiales, accidents travail","sécurité sociale;CNPS;prestations","CNPS","https://www.cnps.ci/code-prevoyance-sociale-1999.pdf",,FR,1999-08-02,2000-01-01,,,,,
,Codes,Droit des assurances,En vigueur,,Code_CIMA_1992.pdf,application/pdf,,,,"Code CIMA des Assurances (Traité du 10 juillet 1992)","Code interafricain assurances applicable Côte d'Ivoire, règles contrats assurance et supervision","assurances;CIMA;supervision","CIMA","https://cima-afrique.org/code-cima-1992.pdf",,FR,1992-07-10,1995-02-15,,,,,
,Ordonnances,Droit pénal des affaires,En vigueur,,Ord_2013-660_Corruption.pdf,application/pdf,,,,"Ordonnance n° 2013-660 du 20 septembre 2013 lutte contre la corruption","Mesures prévention répression corruption, déclaration patrimoine, création HABG","corruption;gouvernance;HABG","HABG","https://habg.ci/IMG/pdf/ordonnance_2013-660_contre_corruption.pdf",,FR,2013-09-20,2013-09-20,,,,,
