institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
DIGITAL AFRICA,FONDS_INVESTISSEMENT,Ouvert,Programme Fuzé,Investissement equity pour startups tech francophones,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,20 000 à 100 000 euros,30 startups/an,NUMERIQUE,"Peuvent candidater les startups technologiques francophones ayant une activité principale en Afrique, disposant d'une équipe fondatrice solide, d'un produit ou service innovant dans le secteur digital, et démontrant une traction commerciale ou un potentiel de marché significatif à l'échelle continentale. Les startups doivent être légalement constituées en Afrique et viser une opération couvrant plusieurs pays du continent.",,https://digital-africa.co,INTERNATIONAL
Fonds Canadien,FONDS_INVESTISSEMENT,Ouvert,Fonds Canadien Initiatives Locales (FCIL),"Financement 20000-100000 CAD pour projets paix, sécurité, égalité genres",FINANCEMENT,Côte d'Ivoire,National,Variable,2025,Variable,20000-100000 CAD/projet,Variable,SECURITE;IMPACT_SOCIAL,Projets avec analyse comparative genres,,https://www.international.gc.ca/world-monde/funding-financement/cfli-fcil/cote-ivoire.aspx?lang=fra,INTERNATIONAL
Fonds de Développement Touristique,FONDS_INVESTISSEMENT,Ouvert,Fonds de Développement Touristique (FDT),"Financement projets, investissements, développement et formation tourisme",FINANCEMENT,Côte d'Ivoire,National,Continu,2007,Permanent,Variable selon projets,Illimité,TOURISME,Entreprises et acteurs industrie touristique,,https://www.tourisme.gouv.ci,PUBLIC
IVOIRE ANGELS,FONDS_INVESTISSEMENT,Ouvert,Réseau Ivoire Angels,Premier réseau business angels CI,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Variable selon projet,Variable,AGRICULTURE;NUMERIQUE;SANTE;EDUCATION;IMPACT_SOCIAL;SERVICES_PRO,"Les projets doivent présenter un plan d'affaires solide, démontrer un potentiel de retour sur investissement d'au moins 5 fois en 5 ans, avoir une équipe engagée et compétente, ainsi qu'un produit ou service innovant répondant à un besoin clair sur le marché ivoirien ou régional.",,https://ivoireangels.com,PRIVE
JANNGO CAPITAL,FONDS_INVESTISSEMENT,Ouvert,Janngo Capital Startup Fund,Fonds d'investissement avec focus 50% femmes entrepreneures,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,50 000 à 5 000 000 euros (33M à 3.3 milliards FCFA),Variable,NUMERIQUE;FINANCE;SANTE;IMPACT_SOCIAL,"Les startups doivent être en phase early-stage (pré-amorçage ou amorçage), avoir une équipe incluant au moins une femme entrepreneure en position clé, et proposer une solution innovante répondant à un problème de marché clairement identifié. Le fonds privilégie les entreprises avec un fort potentiel de croissance et un impact social positif. Les secteurs d'activité ne sont pas limités, mais une attention particulière est portée aux projets favorisant l'inclusion et l'autonomisation des femmes.",startups@janngocapital.com,https://www.janngo.com/,PRIVE
Joliba Capital,FONDS_INVESTISSEMENT,Ouvert,Fonds Joliba Capital,Investissement PME Afrique Ouest/Centrale,FINANCEMENT,Côte d'Ivoire,National,Continu,Immédiat,Variable,Variable selon projet,Non limité,AGRICULTURE;RESSOURCES;ENERGIE;ENVIRONNEMENT;INDUSTRIE;CONSTRUCTION;TRANSPORT;COMMERCE;FINANCE;NUMERIQUE;SANTE;EDUCATION;SERVICES_PRO;IMPACT_SOCIAL,"PME établies, potentiel croissance",investment@jolibacapital.com,https://joliba-capital.com/,PRIVE
OUKALEY,FONDS_INVESTISSEMENT,Ouvert,Crowdfunding Oukaley,Première plateforme crowdfunding sécurisée d'Afrique,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Variable selon campagne,Illimité,IMPACT_SOCIAL;FINANCE;NUMERIQUE;EDUCATION;SANTE;ENVIRONNEMENT,"Peuvent postuler les entrepreneurs de tous secteurs d'activité, ayant au minimum 3 ans d'expérience avec des revenus stables et vérifiables. Les projets doivent démontrer un potentiel de croissance et une stratégie claire de développement. La plateforme privilégie les initiatives à fort impact social, économique ou environnemental.",,https://oukaley.com,PRIVE
Seedstars,FONDS_INVESTISSEMENT,Ouvert,Seedstars Africa Ventures,Fonds d'investissement pour startups post-revenus,FINANCEMENT,Côte d'Ivoire,National,Continu,Immédiat,Variable,$250k-$2M initial,Non limité,FINANCE;AGRICULTURE;NUMERIQUE,"Post-revenus, forte croissance, équipe solide",,https://www.seedstars.com,PRIVE
TEF,FONDS_INVESTISSEMENT,Ouvert,Tony Elumelu Foundation 2025,Programme entrepreneurial panafricain avec capital de démarrage et formation intensive,FINANCEMENT,Côte d'Ivoire,National,01/03/2025,01/09/2025,12 semaines formation + suivi,5000 USD capital non-remboursable,Illimité pour CI,AGRICULTURE;RESSOURCES;ENERGIE;ENVIRONNEMENT;INDUSTRIE;CONSTRUCTION;TRANSPORT;COMMERCE;FINANCE;NUMERIQUE;MEDIAS;TOURISME;SANTE;EDUCATION;SERVICES_PRO;RECHERCHE;PUBLIC;SECURITE;IMPACT_SOCIAL;SERVICES_PERSO,"Être âgé de 18 ans ou plus, être citoyen d'un pays africain, avoir une idée d'entreprise solide ou une entreprise existante de moins de 5 ans, ne jamais avoir bénéficié auparavant du programme TEF, disposer d'une forte motivation à entreprendre et d'un engagement à suivre la formation complète.",info@tonyelumelufoundation.org,https://tefconnect.com,PRIVE
#CI20,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Startup Boost Capital,Fonds de financement pour startups technologiques et innovantes,FINANCEMENT,Côte d'Ivoire,National,Continu,2025,Permanent,50 millions FCFA max par projet,20+ startups,NUMERIQUE;RECHERCHE,"Entreprises numériques et technologiques, jeunes entrepreneurs",,https://agenceemploijeunes.ci/,PUBLIC
WE4A TEF,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Women Entrepreneurship for Africa,Programme pour alumni TEF femmes,FINANCEMENT,Côte d'Ivoire,National,Continu,2025,3-6 mois,10 000 à 50 000 euros,135 femmes total,IMPACT_SOCIAL;COMMERCE;NUMERIQUE;EDUCATION,"Être une femme entrepreneure ayant complété le programme Tony Elumelu Foundation (alumni TEF), posséder une entreprise avec un produit ou service fonctionnel, disposer d'une clientèle active, et démontrer un potentiel de croissance et d'impact économique en Afrique.",info@tonyelumelufoundation.org,https://tonyelumelufoundation.org,PRIVE
ADVANS CI,MICROFINANCE,Ouvert,Crédit Advans CI,Crédits classiques et digitaux pour entrepreneurs,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Variable selon projet,Illimité,AGRICULTURE;COMMERCE;INDUSTRIE;SERVICES_PRO;SANTE;NUMERIQUE,"Peuvent bénéficier des crédits les entrepreneurs formels disposant d'une immatriculation légale ainsi que les entrepreneurs informels justifiant d'une activité commerciale stable. L'âge minimum requis est de 18 ans, sans limite d'âge maximale. Une évaluation de la capacité de remboursement et un plan d'affaires sont généralement demandés.",,https://advanscotedivoire.com,PRIVE
BAOBAB CI,MICROFINANCE,Ouvert,Microfinance Baobab CI,Leader microfinance CI avec prêts rapides,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,100 000 FCFA à 500 millions FCFA,Illimité,FINANCE;AGRICULTURE;COMMERCE;INDUSTRIE;SANTE;SERVICES_PRO,"Peuvent bénéficier des financements les entrepreneurs formels et informels basés en Côte d'Ivoire, sans restriction d'âge, disposant d'une activité économique viable et présentant un besoin de financement clair. Une évaluation de la capacité de remboursement et un dossier minimal sont requis pour l'accès au prêt.",,https://baobab.com,PRIVE
Banque Atlantique CI,MICROFINANCE,Ouvert,Fonds BACI Entrepreneuriat Féminin,Fonds de 5 milliards FCFA pour entrepreneuriat féminin,FINANCEMENT,Côte d'Ivoire,National,Continu,2024,Permanent,5 milliards FCFA,300+ femmes,AGRICULTURE;INDUSTRIE;COMMERCE;SANTE;EDUCATION;IMPACT_SOCIAL,Femmes entrepreneures avec projets,,https://www.banqueatlantique.net,PUBLIC
FIN-ELLE,MICROFINANCE,Ouvert,Programme Fin'Elle COFINA,Microfinance 100% dédiée aux femmes entrepreneures,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Maximum 36 mois,Jusqu'à 30 millions FCFA,17 000+ femmes accompagnées,AGRICULTURE;INDUSTRIE;COMMERCE;NUMERIQUE;SANTE;SERVICES_PRO;IMPACT_SOCIAL,"Être une femme entrepreneure majeure, résidente dans la zone de couverture de FIN ELLE, exerçant ou souhaitant démarrer une activité économique dans n'importe quel secteur. Le projet doit être viable avec un plan d'affaires clair. Avoir une pièce d'identité valide, justifier d'une adresse fixe, et fournir les documents administratifs et financiers requis. Les femmes sans antécédents de défaut de paiement auprès des institutions financières sont prioritaires.",service.clientfinelle@cofinacorp.com,https://fin-elle.com,PRIVE
KOLINVEST,MICROFINANCE,Ouvert,Plateforme Kolinvest,Financement participatif + formation entrepreneuriale,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Variable selon campagne,Illimité,IMPACT_SOCIAL;EDUCATION;NUMERIQUE,"Sont éligibles les jeunes entrepreneurs âgés de 18 à 35 ans, résidant dans la zone d'intervention de Kolinvest, qui souhaitent lancer ou développer une activité économique. L'initiative cible particulièrement les porteurs de projets innovants ou à fort impact social, et encourage la participation de personnes en situation de vulnérabilité économique ou sociale. Une motivation à suivre la formation entrepreneuriale proposée est également requise.",,https://kolinvest.ci,PRIVE
MIDA,ORGANISATION_INTERNATIONALE,Ouvert,Programme MIDA,Migration circulaire et entrepreneuriat diaspora,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Appui création entreprises,Variable,AGRICULTURE;NUMERIQUE;IMPACT_SOCIAL;EDUCATION;COMMERCE;SANTE,"Être membre de la diaspora ivoirienne, c'est-à-dire un ressortissant ivoirien résidant à l'étranger ou un descendant direct ; avoir un projet entrepreneurial viable ou une volonté de participer à des initiatives de migration circulaire ; être en mesure de présenter un business plan ou une proposition de projet claire ; respecter les conditions spécifiques définies par le programme MIDA.",,https://iom.int,INTERNATIONAL
UNACOOPEC-CI / Advans CI,MICROFINANCE,Ouvert,Programme Microfinance Agribusiness,Microfinance pour agribusiness avec objectif 1000 milliards FCFA,FINANCEMENT,Côte d'Ivoire,National,Continu,2024,2 ans,1000 milliards FCFA visés,Variable,AGRICULTURE;FINANCE,Coopératives et exploitants filières ciblées,,https://www.unacoopec.ci,PUBLIC
Agence Côte d'Ivoire PME,MINISTERE_AGENCE,Ouvert,Programme d'incubation express,2 cohortes de 20 startups avec incubation de 3 mois,INCUBATION,Côte d'Ivoire,National,Continu,2025,3 mois par cohorte,Variable selon projets,40 startups par an,NUMERIQUE;TOURISME;TRANSPORT;MEDIAS,"Startups secteurs prioritaires, jeunes/femmes encouragés",,https://www.cipme.ci,PUBLIC
Agence Côte d'Ivoire PME,MINISTERE_AGENCE,Ouvert,Programme FEMMPACT,Coopération triangulaire entrepreneuriat féminin avec Maroc et Allemagne,INCUBATION,Côte d'Ivoire,National,Continu,2025,Variable,Variable,Variable,IMPACT_SOCIAL;COMMERCE;EDUCATION;NUMERIQUE,Femmes entrepreneures,,https://www.cipme.ci,PUBLIC
Ministère de la Promotion des PME et de l'Artisanat,MINISTERE_AGENCE,Ouvert,Programme PEPITE 2030,Programme d'incubation et financement pour transformer PME en champions nationaux,INCUBATION,Côte d'Ivoire,National,Continu,2021,10 ans,Variable selon projets,150 entreprises par an,AGRICULTURE;INDUSTRIE;COMMERCE;NUMERIQUE;SANTE;EDUCATION;IMPACT_SOCIAL,"PME avec potentiel de croissance, secteurs prioritaires",,https://www.pme.gouv.ci,PUBLIC
ADEI Tech Hub,INCUBATEUR_ACCELERATEUR,Ouvert,Adei Elevate Programme,Renforcement fondamentaux entrepreneuriat,INCUBATION,Côte d'Ivoire,Abidjan,Continu,Variable,Variable,Non spécifié,Non spécifié,NUMERIQUE,"Entrepreneurs tech, potentiel croissance",,https://hub.adeiinstitute.org,PRIVE
CIPME,INCUBATEUR_ACCELERATEUR,Ouvert,Agence Côte d'Ivoire PME,Incubation express et accompagnement PME,INCUBATION,Côte d'Ivoire,National,Continu,Continu,Variable,Accompagnement technique gratuit,Variable,AGRICULTURE;INDUSTRIE;NUMERIQUE;SANTE;EDUCATION;IMPACT_SOCIAL,"Peuvent candidater les PME et startups légalement enregistrées en Côte d'Ivoire, ayant un projet innovant ou à fort potentiel de croissance, avec une équipe engagée et un modèle économique viable. Les entreprises en phase de création ou de développement sont privilégiées.",,https://cipme.ci,PRIVE
EMPOWHER CI,INCUBATEUR_ACCELERATEUR,Ouvert,Women Act Empow'Her,Incubation pour projets à impact environnemental/social portés par femmes,INCUBATION,Côte d'Ivoire,National,Continu,Continu,Plusieurs mois,Formation et accompagnement gratuits,1000 femmes/an,IMPACT_SOCIAL;ENVIRONNEMENT,"Le programme s'adresse exclusivement aux femmes entrepreneures ou porteuses de projets innovants ayant un impact positif avéré sur l'environnement ou la société. Les candidates doivent présenter un projet en phase de démarrage ou de développement, avec un modèle économique viable. La résidence en Côte d'Ivoire est un plus, mais des candidatures d'autres pays africains peuvent être considérées. Une motivation forte pour l'impact social et environnemental est requise.",,https://empowher.org,PRIVE
ESPartners,INCUBATEUR_ACCELERATEUR,Ouvert,Orange Corners Côte d'Ivoire,Programme entrepreneuriat jeunes avec focus agriculture,INCUBATION,Côte d'Ivoire,National,Par cohortes,Variable,6-12 mois,Variable,Non spécifié,AGRICULTURE;IMPACT_SOCIAL,"18-35 ans, projet innovant, impact social",info@espartners.co,https://espartners.co,PRIVE
