type,statut,nom,description,services,logo_url,tags,pays,region,ville,adresse,longitude,latitude,telephone,email,site_web
INCUBATEUR_ACCELERATEUR,Corporate,Moov Innovation Center,Programme d'incubation de Moov Africa,"[Incubation services numériques,Accès APIs Moov,Formations business,Support technique]",,"[télécom,mobile services,corporate]",Côte d'Ivoire,Lagunes,Abidjan,Treichville,-4.0050,5.2900,,startup@moov-africa.ci,https://www.moov-africa.ci/startup
INCUBATEUR_ACCELERATEUR,Institutionnel,Cofina Startup House,Incubateur adossé à COFINA pour jeunes entreprises,"[Incubation fintech,Coaching affaires,Financement amorçage,Mise en réseau bancaire]",,"[fintech,mésofinance,innovation financière]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,startup@cofinacorp.com,https://cofinacorp.com/startuphouse
INCUBATEUR_ACCELERATEUR,Privé,ADN Factory,Hub d'innovation et accélération pour startups tech,"[Incubation early-stage,Accélération growth,Mentorat experts,Démo day,Investisseurs]",,"[startup tech,accélération,mentors]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,,contact@adnfactory.com,https://www.facebook.com/ADNFactory
INCUBATEUR_ACCELERATEUR,Global,Seedstars Abidjan,Incubateur et accélérateur du réseau international Seedstars,"[Accélération 3 mois,Coworking international,Mentorat global,Bootcamps,Seedstars World]",,"[accélération,international,seed funding]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,abidjan@seedspace.co,https://www.seedspace.co
INCUBATEUR_ACCELERATEUR,Corporate/ONG,MakeSense Afrique,Organisation internationale d'innovation sociale,"[Incubation projets sociaux,Ateliers co-création,Hackathons,Mentors bénévoles]",,"[innovation sociale,communauté,open innovation]",Côte d'Ivoire,Lagunes,Abidjan,"Zone 4, Abidjan",-3.9920,5.2950,,abidjan@makesense.org,https://www.makesense.org
INCUBATEUR_ACCELERATEUR,Public,Dream Factory (CI PME),Hub d'innovation public de l'Agence CI PME,"[Incubation gratuite,Coworking public,Formations,Événements,Aides publiques]",,"[gouvernemental,hub public,innovation locale]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,contact@agencecipme.ci,https://www.facebook.com/DreamFactoryCI
INCUBATEUR_ACCELERATEUR,Association,Ayiyikoh,Incubateur communautaire pour jeunes porteurs de projets,"[Pré-incubation,Formations gestion,Développement personnel,Networking,Orientation]",,"[jeunes entrepreneurs,pré-incubation,formation base]",Côte d'Ivoire,Lagunes,Abidjan,Marcory,-3.9920,5.2950,,ayiyikoh@gmail.com,https://www.facebook.com/ayiyikoh.incubation
INCUBATEUR_ACCELERATEUR,Fondation publique,Smart Up – Fondation Jeunesse Numérique,Programme d'incubation de la FJN pour compétences numériques,"[Bootcamps code & business,Incubation post-bootcamp,Coaching numérique,Fab lab]",,"[jeunesse,numérique,e-inclusion]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,contact@fjn.ci,https://www.fjn.ci
INCUBATEUR_ACCELERATEUR,Privé,ABX Accelerator,Accélérateur tech leader avec programme intensif de 16 semaines,"[Programme accélération,Mentorat,Coaching,Support financier 30M FCFA,Investment readiness]",,"[tech,startup,acceleration,fintech]",Côte d'Ivoire,Lagunes,Abidjan,"Boulevard Arsène Usher Assouan, Cocody",-4.0201,5.3097,+225 07 07 07 07,info@abxaccel.com,https://abxaccel.com
INCUBATEUR_ACCELERATEUR,PPP,CGECI Accélérateur,Programme d'accélération de la Confédération Générale des Entreprises,"[CGECI Academy,Business Plan Competition,PRODIJE,Tech@work,Mentorat CEOs]",,"[pme,acceleration,formation,jeunes]",Côte d'Ivoire,Lagunes,Abidjan,"Maison de l'Entreprise, Plateau",-4.0142,5.3207,+225 20 33 02 02,accelerateur@cgeci.ci,https://cgeci.com
INCUBATEUR_ACCELERATEUR,Privé,HEC Challenge Plus,Programme d'accélération HEC Paris en Afrique,"[Programme 8 mois,30000 EUR funding,Mentorship international,Training bootcamps,Demo Day]",,"[education,acceleration,international]",Côte d'Ivoire,Lagunes,Abidjan,"House of Enterprises, Abidjan",-4.0142,5.3207,+225 20 00 00 00,challengeplus@hec.fr,https://hec.edu/challenge-plus
INCUBATEUR_ACCELERATEUR,Privé,ESPartners,Cabinet d'accompagnement et investissement intelligent,"[Advisory services,Intelligent capital,Leadership training,Strategic consulting,Investment facilitation]",,"[conseil,investissement,formation]",Côte d'Ivoire,Lagunes,Abidjan,"Cocody II Plateaux, Rue Saint Jacques 28",-3.9872,5.3681,+225 27 22 50 00,info@espartners.co,https://espartners.co
INCUBATEUR_ACCELERATEUR,Privé,Fondation Jeunesse Numérique,Fondation dédiée à l'entrepreneuriat digital des jeunes,"[Accompagnement digital,Coaching entrepreneurial,Financement jeunes,Formation numérique,Bootcamps]",,"[jeunesse,digital,formation]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 07 00 00 00,info@fjn.ci,https://fjn.ci
INCUBATEUR_ACCELERATEUR,Privé,INOVIS,Hub d'innovation et d'entrepreneuriat,"[Incubation,Acceleration,Coworking,Training,Investment facilitation]",,"[innovation,entrepreneuriat,tech]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 07 00 00 00,contact@inovis.ci,https://inovis.ci
HUB_INNOVATION,Banque,Innovation Lab – Société Générale CI,Laboratoire d'innovation fintech de SGCI,"[Laboratoire fintech,Open API bancaire,Co-création produits,Mentorat,POC financiers]",,"[fintech,banque,open innovation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,innovation@socgen.com,https://societegenerale.ci
HUB_INNOVATION,Privé,Akendewa Tech Hub,Espace d'innovation et d'incubation tech depuis 2009,"[Communauté développeurs,Barcamp Abidjan,Projets open-source,Formations coding]",,"[tech community,open source,pionnier]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 07 08 09 10,contact@akendewa.org,http://akendewa.org
HUB_INNOVATION,Communautaire,O'Village,Tiers-lieu d'innovation sociale et numérique créé en 2014,"[Tiers-lieu open-source,Ateliers logiciels libres,Communauté autogérée,Projets civiques]",,"[open-source,innovation sociale,communauté]",Côte d'Ivoire,Lagunes,Abidjan,Yopougon Niangon,-4.0900,5.3370,,info@ovillage.ci,http://www.ovillage.ci
HUB_INNOVATION,PPP,French Tech Abidjan,Communauté French Tech pour l'écosystème startup francophone,"[Networking events,Workshops,Facilitation internationale,Mentoring,Promotion startups]",,"[tech,francophone,networking,international]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 07 07 07 07,abidjan@lafrenchtech.com,https://lafrenchtech.com
HUB_INNOVATION,Public,Hub Ivoire Tech,Hub d'innovation gouvernemental pour la tech,"[Incubation,Coworking,FabLab,Formation tech,Événements innovation]",,"[gouvernement,tech,innovation]",Côte d'Ivoire,Lagunes,Abidjan,Abidjan,-4.0305,5.3364,+225 20 00 00 00,contact@hubivoiretech.ci,https://hubivoiretech.ci
ESPACE_COWORKING,Privé,Le Phare Coworking,Premier espace de coworking moderne d'Abidjan,"[Open space,Bureaux privés,Salles réunion,Événements networking,Communauté]",,"[coworking,innovation,communauté]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Angré,-3.9750,5.3550,,contact@pharecoworking.com,https://www.pharecoworking.com
ESPACE_COWORKING,Privé,AkwaHub,Espace de coworking et hub créatif,"[Coworking space,Studios créatifs,Incubation interne,Workshops,Conférences tech]",,"[coworking,créativité,tech]",Côte d'Ivoire,Lagunes,Abidjan,Cocody II Plateaux,-3.9872,5.3681,,hello@akwahub.net,https://www.akwahub.net
ESPACE_COWORKING,Privé,AfricaWorks Abidjan,Chaîne panafricaine d'espaces de coworking premium,"[Bureaux flexibles premium,Salles réunion pro,Services support,Networking corporate]",,"[coworking haut de gamme,réseau panafricain]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Immeuble Nour Al Hayat",-4.0142,5.3207,,abidjan@africaworks.com,https://www.africaworks.co
ESPACE_COWORKING,Privé,Colab Abidjan,Espace de coworking innovant interdisciplinaire,"[Coworking open-space,Studio multimédia,Coin fablab,Communauté en ligne]",,"[créatifs,collaboration,fablab urbain]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Riviera,-3.9700,5.3400,,contact@colab.ci,https://colab.andcards.com
ESPACE_COWORKING,Privé,My Address,Espace de coworking et centre d'affaires,"[Domiciliation entreprise,Coworking,Salles réunion,Services secrétariat]",,"[domiciliation,centre affaires,formalisation]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Avenue Nogues",-4.0142,5.3207,,contact@myaddress-ci.com,https://www.myaddress-ci.com
ESPACE_COWORKING,Privé,Seedspace Abidjan,Hub entrepreneurial et espace de coworking Seedstars,"[Coworking 24/7,Investment Readiness,Seedstars programs,Events,Mentoring]",,"[coworking,investissement,seedstars]",Côte d'Ivoire,Lagunes,Abidjan,"Zone 4, Rue du Canal",-3.9920,5.2950,+225 27 22 00 00,abidjan@seedspace.co,https://seedspace.co/abidjan
ESPACE_COWORKING,Association,Jokkolabs Abidjan,Espace de coworking et communauté d'entrepreneurs,"[Coworking solidaire,Events hosting,Community building,Networking,Training]",,"[coworking solidaire,innovation sociale]",Côte d'Ivoire,Lagunes,Abidjan,"Angré, II Plateaux Vallon",-3.9750,5.3550,+225 07 00 00 00,abidjan@jokkolabs.net,https://jokkolabs.net
ESPACE_COWORKING,Privé,Regus Côte d'Ivoire,Leader mondial des espaces de travail flexibles,"[Bureaux équipés,Salles réunion pro,Domiciliation,Business lounge,Réseau global]",,"[business center,flexible office,international]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Immeuble XL",-4.0142,5.3207,+225 27 20 31 41 00,,https://www.regus.com
ESPACE_COWORKING,Association,Baby Lab (FabLab Abobo),Premier FabLab de Côte d'Ivoire créé en 2014,"[FabLab,Ateliers enfants,Réparation informatique,Formation numérique,Makers]",,"[FabLab,éducation numérique,inclusion]",Côte d'Ivoire,Lagunes,Abidjan,Abobo Derrière-rails,-4.0160,5.4180,,babylab@gmail.com,https://www.fablabs.io/labs/babylab
ESPACE_COWORKING,Privé,H-FABLAB,FabLab moderne orienté AgriTech et IoT,"[FabLab,Formation makers,AgriTech innovation,3D printing,Projets Green Tech]",,"[FabLab,IoT,agritech]",Côte d'Ivoire,Lagunes,Bingerville,Bingerville,-3.8950,5.3550,+225 07 00 00 00,contact@h-fablab.org,http://www.h-fablab.org
